record_id,redacted_data_json,is_pii
1,"{""customer_id"": ""CUST001"", ""phone"": ""XXXXXXXX10"", ""order_value"": 1299}",True
2,"{""name"": ""RXXXXXXXXXXX"", ""email"": ""raXXX@email.com"", ""city"": ""Mumbai""}",True
3,"{""first_name"": ""PXXXX"", ""product"": ""iPhone 14"", ""category"": ""Electronics""}",True
4,"{""aadhar"": ""1234 XXXX XXXX 9012"", ""transaction_type"": ""purchase""}",True
5,"{""email"": ""stXXX@email.com"", ""product_id"": ""PROD123""}",True
6,"{""name"": ""AXXXXXXXXX"", ""address"": ""[REDACTED_PII]"", ""ip_address"": ""[REDACTED_PII]""}",True
7,"{""city"": ""Delhi"", ""pin_code"": ""110001"", ""product_category"": ""Fashion""}",False
8,"{""upi_id"": ""usXXX@paytm"", ""amount"": 500}",True
9,"{""last_name"": ""SXXXXX"", ""order_id"": ""ORD789456""}",True
10,"{""passport"": ""[REDACTED_PII]"", ""booking_reference"": ""BK123""}",True
11,"{""device_id"": ""DEV456789"", ""app_version"": ""2.1.4""}",False
12,"{""name"": ""SXXXXXXXXXX"", ""email"": ""snXXX@gmail.com"", ""device_id"": ""MOB123456""}",True
13,"{""transaction_id"": ""TXN987654"", ""amount"": 2500, ""status"": ""completed""}",False
14,"{""phone"": ""XXXXXXXX09"", ""order_date"": ""2024-01-15""}",True
15,"{""state"": ""Maharashtra"", ""product_name"": ""LXXXXXXXXX""}",True
16,"{""name"": ""VXXXXXXXXXXX"", ""address"": ""[REDACTED_PII]"", ""email"": ""viXXX@company.com""}",True
17,"{""first_name"": ""AXXXX"", ""last_name_initial"": ""K"", ""age"": 28}",True
18,"{""aadhar"": ""9876 XXXX XXXX 1098"", ""verification_status"": ""verified""}",True
19,"{""email"": ""cuXXX@service.com"", ""query_type"": ""refund""}",True
20,"{""upi_id"": ""usXXX@ybl"", ""merchant"": ""Flipkart""}",True
21,"{""product_description"": ""[REDACTED_PII]"", ""price"": 65000}",True
22,"{""name"": ""DXXXXXXXXXXXXXX"", ""phone"": ""XXXXXXXX56"", ""email"": ""deXXX@email.com""}",True
23,"{""pin_code"": ""400001"", ""delivery_date"": ""2024-02-10""}",False
24,"{""passport"": ""[REDACTED_PII]"", ""travel_date"": ""2024-03-15""}",True
25,"{""customer_segment"": ""Premium"", ""loyalty_points"": 1500}",False
26,"{""name"": ""RXXXXXXXXX"", ""address"": ""[REDACTED_PII]"", ""ip_address"": ""[REDACTED_PII]""}",True
27,"{""order_type"": ""Express"", ""shipping_method"": ""[REDACTED_PII]""}",True
28,"{""phone"": ""XXXXXXXX45"", ""sms_consent"": true}",True
29,"{""username"": ""tXXXXXXX"", ""last_login"": ""2024-01-20""}",True
30,"{""aadhar"": ""4567 XXXX XXXX 3045"", ""kyc_status"": ""pending""}",True
31,"{""category"": ""Books"", ""author"": ""Chetan Bhagat""}",False
32,"{""name"": ""MXXXXXXXXXX"", ""email"": ""meXXX@workplace.com"", ""device_type"": ""Android""}",True
33,"{""session_id"": ""SESS789123"", ""duration"": ""45 minutes""}",False
34,"{""upi_id"": ""usXXX@okaxis"", ""payment_method"": ""UPI""}",True
35,"{""region"": ""North India"", ""warehouse_code"": ""WH001""}",False
36,"{""name"": ""AXXXXXXXXXXXXX"", ""address"": ""[REDACTED_PII]"", ""phone"": ""XXXXXXXX78""}",True
37,"{""subscription_type"": ""[REDACTED_PII]"", ""renewal_date"": ""2024-06-15""}",True
38,"{""passport"": ""[REDACTED_PII]"", ""country"": ""India""}",True
39,"{""first_name"": ""KXXXX"", ""gender"": ""Female"", ""age_group"": ""25-35""}",True
40,"{""aadhar"": ""2345 XXXX XXXX 0123"", ""bank_verification"": ""success""}",True
41,"{""brand"": ""Nike"", ""model"": ""Air Max"", ""size"": ""9""}",False
42,"{""name"": ""SXXXXXXXXXXXXX"", ""email"": ""siXXX@tech.com"", ""ip_address"": ""[REDACTED_PII]""}",True
43,"{""currency"": ""INR"", ""exchange_rate"": 83.25}",False
44,"{""phone"": ""XXXXXXXX67"", ""notification_preference"": ""SMS""}",True
45,"{""product_rating"": 4.5, ""review_count"": 150}",False
46,"{""upi_id"": ""usXXX@ibl"", ""family_size"": 4}",True
47,"{""zip_code"": ""[REDACTED_PII]"", ""delivery_zone"": ""Zone_A""}",True
48,"{""name"": ""PXXXXXXXXXX"", ""address"": ""[REDACTED_PII]"", ""email"": ""poXXX@email.in""}",True
49,"{""app_name"": ""FXXXXXXX"", ""version"": ""8.21.0""}",True
50,"{""passport"": ""[REDACTED_PII]"", ""issue_date"": ""2020-05-10""}",True
51,"{""last_name"": ""IXXX"", ""profession"": ""Software Engineer""}",True
52,"{""aadhar"": ""3456 XXXX XXXX 1234"", ""address_proof"": ""[REDACTED_PII]""}",True
53,"{""email"": ""suXXX@flipkart.com"", ""ticket_id"": ""TICK456""}",True
54,"{""name"": ""RXXXXXXXXXXXXX"", ""phone"": ""XXXXXXXX89"", ""device_id"": ""ANDROID789""}",True
55,"{""search_query"": ""bluetooth headphones"", ""filters"": ""price,brand""}",False
56,"{""upi_id"": ""usXXX@paytm"", ""auto_debit"": true}",True
57,"{""state_code"": ""MH"", ""gst_number"": ""27ABCDE1234F1Z5""}",False
58,"{""name"": ""LXXXXXXXXXXXXX"", ""email"": ""laXXX@company.org"", ""address"": ""[REDACTED_PII]""}",True
59,"{""feature_flag"": ""new_checkout"", ""enabled"": true}",False
60,"{""phone"": ""XXXXXXXX12"", ""otp_verification"": ""pending""}",True
61,"{""discount_code"": ""SAVE20"", ""validity"": ""2024-03-31""}",False
